year,theme,num_sets,prev_num_sets,abs_change,pct_change,total_sets_year,pct_of_portfolio,is_new_theme_year,new_themes_launched
1966,4.5V,12,0,0.0,0.0,122,9.84,1,2
1967,4.5V,4,12,-8.0,-66.67,30,13.33,0,0
1968,4.5V,7,4,3.0,75.0,42,16.67,0,0
1969,4.5V,13,7,6.0,85.71,75,17.33,0,4
1970,4.5V,2,13,-11.0,-84.62,42,4.76,0,10
1971,4.5V,1,2,-1.0,-50.0,57,1.75,0,1
1972,4.5V,9,1,8.0,800.0,39,23.08,0,3
1975,4.5V,6,9,-3.0,-33.33,41,14.63,0,3
1976,4.5V,8,6,2.0,33.33,77,10.39,0,4
1977,4.5V,2,8,-6.0,-75.0,114,1.75,0,4
1978,4.5V,4,2,2.0,100.0,77,5.19,0,3
1980,4.5V,11,4,7.0,175.0,110,10.0,0,1
1983,4.5V,3,11,-8.0,-72.73,75,4.0,0,2
1985,4.5V,4,3,1.0,33.33,176,2.27,0,2
2008,Agents,8,0,0.0,0.0,462,1.73,1,9
2009,Agents,5,8,-3.0,-37.5,550,0.91,0,7
2001,Alpha Team,6,0,0.0,0.0,459,1.31,1,13
2002,Alpha Team,1,6,-5.0,-83.33,580,0.17,0,6
2007,Aquaraiders II,9,0,0.0,0.0,481,1.87,1,5
2009,Bricktober,1,0,0.0,0.0,550,0.18,1,7
2010,Bricktober,4,1,3.0,300.0,531,0.75,0,14
2011,Bricktober,4,4,0.0,0.0,644,0.62,0,11
2014,Bricktober,4,4,0.0,0.0,1043,0.38,0,12
2015,Bricktober,4,4,0.0,0.0,1016,0.39,0,16
2019,Bricktober,4,4,0.0,0.0,1106,0.36,0,9
2020,Bricktober,4,4,0.0,0.0,1116,0.36,0,11
2021,Bricktober,4,4,0.0,0.0,1220,0.33,0,8
2022,Bricktober,4,4,0.0,0.0,1217,0.33,0,5
2023,Bricktober,6,4,2.0,50.0,1141,0.53,0,7
2024,Bricktober,5,6,-1.0,-16.67,1225,0.41,0,8
1978,Classic Castle,1,0,0.0,0.0,77,1.3,1,3
1979,Classic Castle,3,1,2.0,200.0,93,3.23,0,4
1981,Classic Castle,3,3,0.0,0.0,84,3.57,0,0
1983,Classic Castle,1,3,-2.0,-66.67,75,1.33,0,2
1998,Competition,12,0,0.0,0.0,421,2.85,1,16
1999,Competition,2,12,-10.0,-83.33,378,0.53,0,12
2000,Competition,3,2,1.0,50.0,408,0.74,0,17
2001,Competition,1,3,-2.0,-66.67,459,0.22,0,13
1970,Construction,2,0,0.0,0.0,42,4.76,1,10
1971,Construction,11,2,9.0,450.0,57,19.3,0,1
1972,Construction,4,11,-7.0,-63.64,39,10.26,0,3
1973,Construction,9,4,5.0,125.0,72,12.5,0,2
1974,Construction,4,9,-5.0,-55.56,39,10.26,0,1
1975,Construction,4,4,0.0,0.0,41,9.76,0,3
1976,Construction,6,4,2.0,50.0,77,7.79,0,4
1977,Construction,1,6,-5.0,-83.33,114,0.88,0,4
2005,Construction,7,1,6.0,600.0,409,1.71,0,9
2006,Construction,3,7,-4.0,-57.14,441,0.68,0,7
2007,Construction,4,3,1.0,33.33,481,0.83,0,5
2008,Construction,2,4,-2.0,-50.0,462,0.43,0,9
2009,Construction,11,2,9.0,450.0,550,2.0,0,7
2012,Construction,9,11,-2.0,-18.18,766,1.17,0,18
2013,Construction,1,9,-8.0,-88.89,809,0.12,0,15
2014,Construction,1,1,0.0,0.0,1043,0.1,0,12
2015,Construction,7,1,6.0,600.0,1016,0.69,0,16
2016,Construction,1,7,-6.0,-85.71,998,0.1,0,13
2017,Construction,3,1,2.0,200.0,1104,0.27,0,6
2018,Construction,6,3,3.0,100.0,1065,0.56,0,13
2019,Construction,1,6,-5.0,-83.33,1106,0.09,0,9
2020,Construction,3,1,2.0,200.0,1116,0.27,0,11
2021,Construction,3,3,0.0,0.0,1220,0.25,0,8
2022,Construction,5,3,2.0,66.67,1217,0.41,0,5
2023,Construction,4,5,-1.0,-20.0,1141,0.35,0,7
2024,Construction,5,4,1.0,25.0,1225,0.41,0,8
2025,Construction,5,5,0.0,0.0,1104,0.45,0,7
2000,Creator Expert,1,0,0.0,0.0,408,0.25,1,17
2001,Creator Expert,1,1,0.0,0.0,459,0.22,0,13
2002,Creator Expert,2,1,1.0,100.0,580,0.34,0,6
2003,Creator Expert,2,2,0.0,0.0,541,0.37,0,16
2004,Creator Expert,1,2,-1.0,-50.0,466,0.21,0,9
2005,Creator Expert,1,1,0.0,0.0,409,0.24,0,9
2006,Creator Expert,4,1,3.0,300.0,441,0.91,0,7
2007,Creator Expert,1,4,-3.0,-75.0,481,0.21,0,5
2008,Creator Expert,3,1,2.0,200.0,462,0.65,0,9
2009,Creator Expert,3,3,0.0,0.0,550,0.55,0,7
2010,Creator Expert,3,3,0.0,0.0,531,0.56,0,14
2011,Creator Expert,3,3,0.0,0.0,644,0.47,0,11
2012,Creator Expert,1,3,-2.0,-66.67,766,0.13,0,18
2013,Creator Expert,3,1,2.0,200.0,809,0.37,0,15
2014,Creator Expert,4,3,1.0,33.33,1043,0.38,0,12
2015,Creator Expert,3,4,-1.0,-25.0,1016,0.3,0,16
2016,Creator Expert,2,3,-1.0,-33.33,998,0.2,0,13
2017,Creator Expert,3,2,1.0,50.0,1104,0.27,0,6
2018,Creator Expert,3,3,0.0,0.0,1065,0.28,0,13
2019,Creator Expert,4,3,1.0,33.33,1106,0.36,0,9
2020,Creator Expert,2,4,-2.0,-50.0,1116,0.18,0,11
2021,Creator Expert,1,2,-1.0,-50.0,1220,0.08,0,8
1998,Desert,21,0,0.0,0.0,421,4.99,1,16
1999,Desert,4,21,-17.0,-80.95,378,1.06,0,12
2001,Desert,1,4,-3.0,-75.0,459,0.22,0,13
2015,Dimensions,31,0,0.0,0.0,1016,3.05,1,16
2016,Dimensions,26,31,-5.0,-16.13,998,2.61,0,13
